customer_id,order_id,order_date,sku,qty,price
C001,SO-101,2025-08-20,CAKE-CHOC,3,12.50
C001,SO-122,2025-09-05,COOK-OAT,5,2.10
C002,SO-130,2025-09-01,JUICE-ORG,10,1.20
C003,SO-140,2025-07-30,CAKE-CHOC,1,12.50
C003,SO-155,2025-09-10,COFF-BEAN,2,7.90
C001,SO-160,2025-09-12,CAKE-CHOC,1,12.50
C004,SO-170,2025-08-01,TEA-GREEN,4,3.50
C005,SO-180,2025-07-15,PASTA-WHEAT,12,1.80
C005,SO-181,2025-09-02,SAUCE-TOMA,6,2.50
C006,SO-190,2025-08-25,CHIPS-SALT,20,0.90
C006,SO-191,2025-09-16,ENERGY-DRK,15,1.50
C007,SO-200,2025-05-12,GRAIN-RICE,50,0.70
C007,SO-201,2025-09-05,OIL-SUN,10,3.20
C008,SO-210,2025-09-07,COFF-BEAN,5,7.90
C008,SO-211,2025-09-15,TEA-BLK,8,3.00
C009,SO-220,2025-06-30,ICE-CREAM,30,2.80
C010,SO-230,2025-09-01,MEAL-PREP,100,5.50
